step,mid_price,best_bid,best_ask
0,99.67488260734105,99.9,99.72488260734104
1,98.8452767857445,99.57,98.8952767857445
2,98.2861658978881,98.75,98.3361658978881
3,98.34926138544054,98.29926138544054,98.39926138544054
4,98.7398252674695,98.6898252674695,98.7898252674695
5,98.24831719431226,98.54,98.29831719431226
6,98.02333535610181,97.97333535610181,98.07333535610181
7,98.27708722426487,98.22708722426488,97.97
8,98.35859687266773,98.30859687266774,98.25
9,98.70420447296422,98.65420447296422,98.33
10,98.76153443637689,98.5,98.81153443637689
11,99.2150929654646,99.16509296546461,98.74
12,99.50904814054046,99.02,99.55904814054045
13,99.4078203764978,99.31,99.45782037649779
14,99.18473748395792,99.21,99.23473748395791
15,98.94508957265165,98.89508957265166,98.99508957265165
16,98.98842384592078,98.93842384592078,98.9
17,99.25036902831387,99.20036902831387,98.94
18,99.17841058580531,99.12841058580531,99.2
19,99.45379442714449,99.40379442714449,99.15
20,99.5573556621107,99.25,99.60735566211069
21,99.23940080892581,99.36,99.2894008089258
22,99.2599687922061,99.2099687922061,99.21
23,99.87624058256914,99.82624058256914,99.23
24,100.89949254976362,99.68,100.94949254976362
25,100.8974946690196,100.7,100.94749466901959
26,100.70037981592392,100.7,100.75037981592392
27,100.69397163306323,100.5,100.74397163306323
28,100.53807126673887,100.48807126673887,100.58807126673887
29,100.57901440997173,100.52901440997174,100.49
30,100.1563779232053,100.1063779232053,100.53
31,100.22646948247794,100.17646948247794,100.13
32,101.07384568818993,100.03,101.12384568818993
33,101.28758089547138,101.23758089547138,101.05
34,101.58879470681201,101.09,101.638794706812
35,101.1071946186276,101.0571946186276,101.56
36,101.5992892678231,100.91,101.6492892678231
37,102.20380155741769,102.1538015574177,101.57
38,102.64011963475124,102.0,102.69011963475124
39,102.47804008518135,102.44,102.52804008518135
40,102.54614907510985,102.28,102.59614907510985
41,102.49019821533358,102.35,102.54019821533358
42,103.03615995679625,102.98615995679626,102.47
43,104.0120939388943,103.9620939388943,103.01
44,104.47600132763762,103.81,104.52600132763762
45,104.30476296688072,104.28,104.35476296688071
46,104.5772889534091,104.1,104.62728895340909
47,104.08087909754087,104.38,104.13087909754087
48,103.89362368270614,103.84362368270614,104.06
49,102.81709438688254,103.69,102.86709438688254
50,103.01097078312257,102.96097078312258,102.79
51,102.87975756081184,102.82975756081184,102.99
52,103.05882097015996,103.00882097015996,102.85
53,104.26781889795622,104.21781889795622,103.03
54,104.76749209386816,104.07,104.81749209386815
55,104.62319464671346,104.57,104.67319464671345
56,105.02250081891266,104.42,105.07250081891266
57,105.35826397377723,105.30826397377723,105.40826397377722
