step,agent_id,inventory,cash,total_value
27,Arb_01,-40,103940.79999999999,99913.04113467746
28,MM_01,30,97034.70000000001,100050.84213800218
28,Trend_01,-10,100984.9,99979.5192873326
28,Arb_01,-50,104945.69999999998,99918.79643666303
29,MM_01,30,97034.70000000001,100052.07043229917
29,Trend_01,-10,100984.9,99979.10985590027
29,Arb_01,-50,104945.69999999998,99916.7492795014
30,MM_01,25,97537.35,100041.25944808013
30,Trend_01,-10,100984.9,99983.33622076795
30,Arb_01,-40,103940.4,99934.14488307179
31,MM_01,20,98038.0,100042.52938964956
31,Trend_01,-10,100984.9,99982.63530517521
31,Arb_01,-30,102939.1,99932.30591552566
32,MM_01,25,97537.85,100064.69614220476
32,Trend_01,-20,101985.19999999998,99963.72308623619
32,Arb_01,-30,102939.1,99906.8846293543
33,MM_01,20,98043.1,100068.85161790943
33,Trend_01,-10,100974.69999999998,99961.82419104526
33,Arb_01,-30,102939.1,99900.47257313586
34,MM_01,25,97537.65000000001,100077.3698676703
34,Trend_01,-10,100974.69999999998,99958.81205293187
34,Arb_01,-40,103950.0,99886.44821172752
35,MM_01,20,98045.45000000001,100067.59389237256
35,Trend_01,0,99959.09999999998,99959.09999999998
35,Arb_01,-40,103950.0,99905.7122152549
36,MM_01,25,97540.90000000001,100080.88223169559
36,Trend_01,-10,100968.19999999998,99952.20710732175
36,Arb_01,-40,103950.0,99886.02842928708
37,MM_01,20,98048.75000000001,100092.82603114838
37,Trend_01,0,99952.49999999997,99952.49999999997
37,Arb_01,-40,103950.0,99861.84793770329
38,MM_01,20,98048.75000000001,100101.55239269504
38,Trend_01,0,99952.49999999997,99952.49999999997
38,Arb_01,-40,103950.0,99844.39521460995
39,MM_01,20,98048.75000000001,100098.31080170364
39,Trend_01,0,99952.49999999997,99952.49999999997
39,Arb_01,-40,103950.0,99850.87839659274
40,MM_01,20,98048.75000000001,100099.67298150221
40,Trend_01,0,99952.49999999997,99952.49999999997
40,Arb_01,-40,103950.0,99848.1540369956
41,MM_01,25,97537.00000000001,100099.25495538335
41,Trend_01,0,99952.49999999997,99952.49999999997
41,Arb_01,-50,104973.5,99848.99008923332
42,MM_01,25,97537.00000000001,100112.90399891992
42,Trend_01,0,99952.49999999997,99952.49999999997
42,Arb_01,-50,104973.5,99821.69200216018
43,MM_01,20,98052.05000000002,100132.2918787779
43,Trend_01,10,98922.39999999997,99962.52093938891
43,Arb_01,-50,104973.5,99772.89530305528
44,MM_01,20,98052.05000000002,100141.57002655277
44,Trend_01,10,98922.39999999997,99967.16001327634
44,Arb_01,-50,104973.5,99749.69993361812
45,MM_01,20,98052.05000000002,100138.14525933763
45,Trend_01,10,98922.39999999997,99965.44762966878
45,Arb_01,-50,104973.5,99758.26185165596
46,MM_01,20,98052.05000000002,100143.5957790682
46,Trend_01,10,98922.39999999997,99968.17288953405
46,Arb_01,-50,104973.5,99744.63555232955
47,MM_01,25,97530.15000000002,100132.17197743854
47,Trend_01,10,98922.39999999997,99963.20879097538
47,Arb_01,-60,106017.29999999999,99772.44725414754
48,MM_01,20,98050.45000000003,100128.32247365415
48,Trend_01,10,98922.39999999997,99961.33623682703
48,Arb_01,-50,104976.69999999998,99782.01881586468
49,MM_01,25,97532.00000000003,100102.42735967209
49,Trend_01,0,99959.29999999996,99959.29999999996
49,Arb_01,-50,104976.69999999998,99835.84528065585
50,MM_01,25,97532.00000000003,100107.27426957809
50,Trend_01,0,99959.29999999996,99959.29999999996
50,Arb_01,-50,104976.69999999998,99826.15146084386
51,MM_01,25,97532.00000000003,100103.99393902032
51,Trend_01,0,99959.29999999996,99959.29999999996
51,Arb_01,-50,104976.69999999998,99832.7121219594
52,MM_01,25,97532.00000000003,100108.47052425402
52,Trend_01,0,99959.29999999996,99959.29999999996
52,Arb_01,-50,104976.69999999998,99823.75895149198
53,MM_01,20,98047.15000000002,100132.50637795914
53,Trend_01,10,98928.99999999997,99971.67818897954
53,Arb_01,-50,104976.69999999998,99763.30905510217
54,MM_01,20,98047.15000000002,100142.49984187739
54,Trend_01,10,98928.99999999997,99976.67492093865
54,Arb_01,-50,104976.69999999998,99738.32539530657
55,MM_01,20,98047.15000000002,100139.61389293429
55,Trend_01,10,98928.99999999997,99975.2319464671
55,Arb_01,-50,104976.69999999998,99745.54026766431
56,MM_01,25,97525.05000000002,100150.61252047283
56,Trend_01,10,98928.99999999997,99979.2250081891
56,Arb_01,-60,106020.9,99719.54995086523
57,MM_01,15,98575.05000000002,100155.42395960668
57,Trend_01,20,97878.99999999997,99986.16527947552
57,Arb_01,-50,104970.9,99702.98680131113
58,MM_01,15,98575.05000000002,100149.2847601289
58,Trend_01,20,97878.99999999997,99977.9796801718
58,Arb_01,-50,104970.9,99723.4507995704
59,MM_01,20,98051.20000000001,100151.82697667573
59,Trend_01,10,98926.69999999998,99977.01348833783
59,Arb_01,-50,104970.9,99719.3325583107
60,MM_01,25,97527.05000000002,100151.76668724703
60,Trend_01,0,99974.99999999997,99974.99999999997
60,Arb_01,-50,104970.9,99721.46662550597
61,MM_01,20,98051.85000000002,100131.4232991343
61,Trend_01,0,99974.99999999997,99974.99999999997
61,Arb_01,-40,103921.29999999999,99762.15340173144
62,MM_01,30,97014.05000000003,100164.54493573876
62,Trend_01,-10,101012.79999999996,99962.63502142038
62,Arb_01,-50,104959.09999999998,99708.2751071021
63,MM_01,20,98063.75000000004,100180.44162490507
63,Trend_01,0,99963.09999999995,99963.09999999995
63,Arb_01,-40,103909.39999999997,99676.01675018991
64,MM_01,25,97535.60000000005,100169.67538705644
64,Trend_01,0,99963.09999999995,99963.09999999995
64,Arb_01,-50,104965.69999999995,99697.54922588718
65,MM_01,15,98589.00000000004,100165.0624902234
65,Trend_01,10,98909.69999999995,99960.40832681552
65,Arb_01,-40,103912.29999999996,99709.4666927377
66,MM_01,20,98064.50000000004,100166.34102058079
66,Trend_01,0,99958.69999999995,99958.69999999995
66,Arb_01,-40,103912.29999999996,99708.61795883845
67,MM_01,25,97540.05000000005,100142.89311535117
67,Trend_01,-10,101007.59999999995,99966.4627538595
67,Arb_01,-40,103912.29999999996,99747.75101543816
68,MM_01,25,97540.05000000005,100165.29930066703
68,Trend_01,-10,101007.59999999995,99957.50027973315
68,Arb_01,-40,103912.29999999996,99711.90111893279
69,MM_01,15,98589.85000000003,100151.2818709948
69,Trend_01,0,99957.79999999996,99957.79999999996
69,Arb_01,-30,102862.49999999997,99739.63625801043
70,MM_01,20,98070.25000000003,100163.1098947099
70,Trend_01,-10,100996.99999999997,99950.57005264504
70,Arb_01,-30,102862.49999999997,99723.21015793516
71,MM_01,25,97548.05000000003,100173.00249145865
71,Trend_01,-10,100996.99999999997,99947.01900341653
71,Arb_01,-40,103906.89999999997,99706.97601366616
72,MM_01,20,98072.90000000004,100179.88209069766
72,Trend_01,0,99947.29999999996,99947.29999999996
72,Arb_01,-40,103906.89999999997,99692.93581860473
73,MM_01,20,98072.90000000004,100187.93937199755
73,Trend_01,0,99947.29999999996,99947.29999999996
73,Arb_01,-40,103906.89999999997,99676.82125600493
74,MM_01,20,98072.90000000004,100188.26938564003
74,Trend_01,0,99947.29999999996,99947.29999999996
74,Arb_01,-40,103906.89999999997,99676.16122871998
75,MM_01,20,98072.90000000004,100190.6572250632
75,Trend_01,0,99947.29999999996,99947.29999999996
75,Arb_01,-40,103906.89999999997,99671.38554987365
76,MM_01,25,97544.45000000004,100191.03207484038
76,Trend_01,0,99947.29999999996,99947.29999999996
76,Arb_01,-50,104963.79999999996,99670.63585031929
77,MM_01,20,98073.65000000004,100184.3235931456
77,Trend_01,10,98888.89999999997,99944.23679657275
77,Arb_01,-50,104963.79999999996,99687.11601713604
78,MM_01,25,97547.00000000004,100162.29705492187
78,Trend_01,0,99942.19999999995,99942.19999999995
78,Arb_01,-50,104963.79999999996,99733.2058901563
79,MM_01,25,97547.00000000004,100162.46276064981
79,Trend_01,0,99942.19999999995,99942.19999999995
79,Arb_01,-50,104963.79999999996,99732.87447870041
80,MM_01,20,98069.95000000004,100177.22364798283
80,Trend_01,0,99942.19999999995,99942.19999999995
80,Arb_01,-40,103917.89999999997,99703.35270403439
81,MM_01,20,98069.95000000004,100185.00182380856
81,Trend_01,0,99942.19999999995,99942.19999999995
81,Arb_01,-40,103917.89999999997,99687.79635238292
82,MM_01,20,98069.95000000004,100172.91724530795
82,Trend_01,0,99942.19999999995,99942.19999999995
82,Arb_01,-40,103917.89999999997,99711.96550938414
83,MM_01,25,97545.20000000004,100203.15929261764
83,Trend_01,-10,100991.69999999995,99928.51628295291
83,Arb_01,-40,103917.89999999997,99665.16513181182
84,MM_01,20,98076.65000000004,100207.86825698876
84,Trend_01,0,99928.79999999996,99928.79999999996
84,Arb_01,-40,103917.89999999997,99655.46348602252
85,MM_01,20,98076.65000000004,100200.8401419416
85,Trend_01,0,99928.79999999996,99928.79999999996
85,Arb_01,-40,103917.89999999997,99669.51971611683
86,MM_01,25,97546.60000000003,100193.79056448003
86,Trend_01,0,99928.79999999996,99928.79999999996
86,Arb_01,-50,104977.99999999997,99683.61887103997
87,MM_01,25,97546.60000000003,100194.8548219005
87,Trend_01,0,99928.79999999996,99928.79999999996
87,Arb_01,-50,104977.99999999997,99681.49035619902
88,MM_01,25,97546.60000000003,100188.63450549361
88,Trend_01,0,99928.79999999996,99928.79999999996
88,Arb_01,-50,104977.99999999997,99693.93098901284
89,MM_01,25,97546.60000000003,100177.87442713614
89,Trend_01,0,99928.79999999996,99928.79999999996
89,Arb_01,-50,104977.99999999997,99715.45114572777
90,MM_01,25,97546.60000000003,100169.24432690343
90,Trend_01,0,99928.79999999996,99928.79999999996
90,Arb_01,-50,104977.99999999997,99732.71134619319
91,MM_01,25,97546.60000000003,100182.23268552167
91,Trend_01,0,99928.79999999996,99928.79999999996
91,Arb_01,-50,104977.99999999997,99706.7346289567
92,MM_01,15,98600.60000000003,100187.80417915096
92,Trend_01,10,98874.79999999996,99932.93611943391
92,Arb_01,-40,103923.99999999997,99691.45552226415
93,MM_01,15,98600.60000000003,100185.13928332877
93,Trend_01,10,98874.79999999996,99931.15952221911
93,Arb_01,-40,103923.99999999997,99698.56191112335
94,MM_01,15,98600.60000000003,100180.6045289359
94,Trend_01,10,98874.79999999996,99928.13635262387
94,Arb_01,-40,103923.99999999997,99710.65458950431
95,MM_01,20,98074.80000000003,100173.70838641464
95,Trend_01,0,99926.39999999997,99926.39999999997
95,Arb_01,-40,103923.99999999997,99726.18322717077
96,MM_01,25,97551.05000000003,100182.63458486112
96,Trend_01,-10,100973.89999999997,99921.26616605553
96,Arb_01,-40,103923.99999999997,99713.46466422222
97,MM_01,25,97551.05000000003,100175.55384869059
97,Trend_01,-10,100973.89999999997,99924.09846052375
97,Arb_01,-40,103923.99999999997,99724.79384209508
98,MM_01,20,98075.85000000003,100175.29491746744
98,Trend_01,-10,100973.89999999997,99924.17754126625
98,Arb_01,-30,102874.39999999997,99725.23262379885
99,MM_01,25,97552.00000000003,100167.03995540713
99,Trend_01,-20,102021.59999999998,99929.5680356743
99,Arb_01,-30,102874.39999999997,99736.35205351144
100,MM_01,20,98074.90000000002,100176.3956363478
100,Trend_01,-20,102021.59999999998,99920.1043636522
100,Arb_01,-20,101828.59999999998,99727.1043636522
101,MM_01,25,97550.55000000002,100187.14255181479
101,Trend_01,-20,102021.59999999998,99912.32595854816
101,Arb_01,-30,102877.29999999999,99713.38893782227
102,MM_01,15,98604.95000000001,100181.39719802886
102,Trend_01,-10,100967.19999999998,99916.23520131408
102,Arb_01,-20,101822.9,99720.97040262818
103,MM_01,15,98604.95000000001,100180.90030884721
103,Trend_01,-10,100967.19999999998,99916.56646076852
103,Arb_01,-20,101822.9,99721.63292153705
104,MM_01,20,98080.50000000001,100179.77559992348
104,Trend_01,-20,102016.09999999998,99916.82440007651
104,Arb_01,-20,101822.9,99723.62440007653
105,MM_01,25,97556.70000000001,100166.21526427826
105,Trend_01,-30,103063.69999999998,99932.28168286609
105,Arb_01,-20,101822.9,99735.28778857739
106,MM_01,20,98078.50000000001,100180.48339808935
106,Trend_01,-30,103063.69999999998,99910.72490286599
106,Arb_01,-10,100779.29999999999,99728.30830095532
107,MM_01,20,98078.50000000001,100156.63945706245
107,Trend_01,-30,103063.69999999998,99946.49081440632
107,Arb_01,-10,100779.29999999999,99740.23027146877
108,MM_01,30,97041.40000000001,100133.06164787964
108,Trend_01,-40,104100.79999999999,99978.5844694938
108,Arb_01,-20,101816.4,99755.2922347469
109,MM_01,30,97041.40000000001,100084.71938728692
109,Trend_01,-40,104100.79999999999,100043.04081695076
109,Arb_01,-20,101816.4,99787.52040847538
110,MM_01,30,97041.40000000001,100081.88779656011
110,Trend_01,-40,104100.79999999999,100046.81627125318
110,Arb_01,-20,101816.4,99789.4081356266
111,MM_01,30,97041.40000000001,100094.91337643047
111,Trend_01,-40,104100.79999999999,100029.44883142604
111,Arb_01,-20,101816.4,99780.72441571302
112,MM_01,25,97550.05,100115.47554377695
112,Trend_01,-40,104100.79999999999,99996.11912995689
112,Arb_01,-10,100799.1,99772.92978248923
113,MM_01,15,98575.95,100111.54522474384
113,Trend_01,-30,103074.9,100003.70955051233
113,Arb_01,0,99773.20000000001,99773.20000000001
114,MM_01,20,98064.95,100107.10557934662
114,Trend_01,-30,103074.9,100011.66663098005
114,Arb_01,-10,100795.20000000001,99774.12221032669
115,MM_01,25,97555.4,100095.22707102346
115,Trend_01,-40,104094.0,100030.27668636247
115,Arb_01,-10,100795.20000000001,99779.26917159063
116,MM_01,20,98063.25,100086.81567586426
116,Trend_01,-40,104094.0,100046.86864827147
116,Arb_01,0,99779.5,99779.5
117,MM_01,30,97053.45000000001,100085.95583538391
117,Trend_01,-50,105103.79999999999,100049.62360769347
117,Arb_01,-10,100789.29999999999,99778.46472153868
118,MM_01,30,97053.45000000001,100120.38643318614
118,Trend_01,-50,105103.79999999999,99992.23927802312
118,Arb_01,-10,100789.29999999999,99766.98785560462
119,MM_01,20,98075.25,100116.26562353507
119,Trend_01,-40,104082.0,99999.96875292985
119,Arb_01,0,99767.5,99767.5
120,MM_01,20,98075.25,100104.99885076948
120,Trend_01,-40,104082.0,100022.50229846103
120,Arb_01,0,99767.5,99767.5
121,MM_01,30,97062.35,100101.76944302362
121,Trend_01,-50,105094.9,100029.20092829397
121,Arb_01,-10,100780.4,99767.26018565879
122,MM_01,25,97568.65000000001,100112.36070811853
122,Trend_01,-50,105094.9,100007.47858376293
122,Arb_01,0,99767.79999999999,99767.79999999999
123,MM_01,20,98077.25000000001,100126.0116152676
123,Trend_01,-40,104077.69999999998,99980.17676946482
123,Arb_01,0,99767.79999999999,99767.79999999999
124,MM_01,25,97566.05000000002,100122.8244474431
124,Trend_01,-40,104077.69999999998,99986.86088409106
124,Arb_01,-10,100790.19999999998,99767.49022102276
125,MM_01,15,98588.55000000002,100141.09119261535
125,Trend_01,-30,103055.19999999998,99950.1176147693
125,Arb_01,0,99767.69999999998,99767.69999999998
126,MM_01,20,98071.90000000002,100154.42422485257
126,Trend_01,-30,103055.19999999998,99931.41366272116
126,Arb_01,-10,100800.99999999997,99759.73788757369
127,MM_01,25,97552.25000000003,100172.46527961009
127,Trend_01,-30,103055.19999999998,99910.94166446791
127,Arb_01,-20,101840.29999999996,99744.12777631191
128,MM_01,20,98076.15000000002,100182.67976048747
128,Trend_01,-20,102007.4,99900.87023951254
128,Arb_01,-20,101840.29999999996,99733.77023951251
129,MM_01,20,98076.15000000002,100166.37672081338
129,Trend_01,-20,102007.4,99917.17327918664
129,Arb_01,-20,101840.29999999996,99750.0732791866
130,MM_01,30,97033.05000000002,100181.56175135769
130,Trend_01,-30,103050.5,99901.98824864233
130,Arb_01,-30,102883.39999999997,99734.8882486423
131,MM_01,25,97557.55000000002,100206.24932648023
131,Trend_01,-20,102001.5,99882.54053881583
131,Arb_01,-30,102883.39999999997,99704.9608082237
132,MM_01,20,98087.15000000002,100208.26738170582
132,Trend_01,-10,100942.29999999999,99881.74130914708
132,Arb_01,-30,102883.39999999997,99701.72392744126
133,MM_01,20,98087.15000000002,100204.63065578802
133,Trend_01,-10,100942.29999999999,99883.559672106
133,Arb_01,-30,102883.39999999997,99707.17901631798
134,MM_01,25,97558.80000000002,100191.00523987897
134,Trend_01,-10,100942.29999999999,99889.4179040484
134,Arb_01,-40,103940.09999999998,99728.57161619366
135,MM_01,25,97558.80000000002,100198.7128747734
135,Trend_01,-10,100942.29999999999,99886.33485009064
135,Arb_01,-40,103940.09999999998,99716.23940036257
136,MM_01,20,98086.65000000002,100180.07157881117
136,Trend_01,-10,100942.29999999999,99895.58921059441
136,Arb_01,-30,102884.39999999997,99744.26763178324
137,MM_01,30,97041.95000000001,100174.61102326399
137,Trend_01,-20,101987.0,99898.55931782402
137,Arb_01,-40,103929.09999999998,99752.21863564801
138,MM_01,30,97041.95000000001,100174.79150809003
138,Trend_01,-20,101987.0,99898.43899460665
138,Arb_01,-40,103929.09999999998,99751.9779892133
139,MM_01,30,97041.95000000001,100170.72151008253
139,Trend_01,-20,101987.0,99901.15232661166
139,Arb_01,-40,103929.09999999998,99757.4046532233
140,MM_01,30,97041.95000000001,100171.74356414261
140,Trend_01,-20,101987.0,99900.47095723827
140,Arb_01,-40,103929.09999999998,99756.0419144765
141,MM_01,30,97041.95000000001,100166.80115273912
141,Trend_01,-20,101987.0,99903.76589817392
141,Arb_01,-40,103929.09999999998,99762.63179634784
142,MM_01,30,97041.95000000001,100175.48856155395
142,Trend_01,-20,101987.0,99897.97429229737
142,Arb_01,-40,103929.09999999998,99751.04858459471
143,MM_01,25,97563.95000000001,100160.15975627323
143,Trend_01,-10,100943.0,99904.5160974907
143,Arb_01,-40,103929.09999999998,99775.16438996281
144,MM_01,20,98083.05000000002,100162.63568107734
144,Trend_01,-10,100943.0,99903.20715946134
144,Arb_01,-30,102890.89999999997,99771.52147838398
145,MM_01,25,97564.15000000002,100156.52268972644
145,Trend_01,-20,101980.79999999999,99906.90184821885
145,Arb_01,-30,102890.89999999997,99780.05277232827
146,MM_01,20,98082.50000000003,100132.43197333177
146,Trend_01,-20,101980.79999999999,99930.86802666825
146,Arb_01,-20,101854.19999999995,99804.26802666821
147,MM_01,25,97571.00000000003,100122.9657846243
147,Trend_01,-30,103003.79999999999,99941.44105845086
147,Arb_01,-20,101854.19999999995,99812.62737230053
148,MM_01,25,97571.00000000003,100128.10217040461
148,Trend_01,-30,103003.79999999999,99935.27739551448
148,Arb_01,-20,101854.19999999995,99808.51826367629
149,MM_01,20,98082.30000000003,100130.08922719637
149,Trend_01,-30,103003.79999999999,99932.11615920547
149,Arb_01,-10,100831.59999999995,99807.70538640178
150,MM_01,25,97571.35000000003,100152.23745994207
150,Trend_01,-30,103003.79999999999,99906.73504806953
150,Arb_01,-20,101853.49999999994,99788.79003204631
151,MM_01,15,98603.45000000004,100153.50325597398
151,Trend_01,-20,101971.69999999998,99904.96232536806
151,Arb_01,-10,100821.39999999994,99788.03116268397
152,MM_01,20,98087.65000000004,100138.88805485415
152,Trend_01,-20,101971.69999999998,99920.46194514587
152,Arb_01,-20,101852.99999999994,99801.76194514583
153,MM_01,30,97064.05000000003,100146.68915103994
153,Trend_01,-30,102995.29999999999,99912.66084896008
153,Arb_01,-30,102876.59999999995,99793.96084896004
154,MM_01,30,97064.05000000003,100137.17502628268
154,Trend_01,-30,102995.29999999999,99922.17497371734
154,Arb_01,-30,102876.59999999995,99803.4749737173
155,MM_01,25,97576.00000000003,100138.26000230506
155,Trend_01,-30,102995.29999999999,99920.58799723395
155,Arb_01,-20,101852.69999999995,99802.89199815593
156,MM_01,20,98088.35000000003,100140.53419854966
156,Trend_01,-30,102995.29999999999,99917.02370217555
156,Arb_01,-10,100827.99999999994,99801.90790072513
157,MM_01,20,98088.35000000003,100158.68491919171
157,Trend_01,-30,102995.29999999999,99889.79762121246
157,Arb_01,-10,100827.99999999994,99792.8325404041
158,MM_01,20,98088.35000000003,100154.97695216045
158,Trend_01,-30,102995.29999999999,99895.35957175937
158,Arb_01,-10,100827.99999999994,99794.68652391974
159,MM_01,20,98088.35000000003,100155.3054687728
159,Trend_01,-30,102995.29999999999,99894.86679684084
159,Arb_01,-10,100827.99999999994,99794.52226561356
160,MM_01,20,98088.35000000003,100157.76339379243
160,Trend_01,-30,102995.29999999999,99891.1799093114
160,Arb_01,-10,100827.99999999994,99793.29330310374
161,MM_01,25,97572.00000000003,100166.86826204632
161,Trend_01,-30,102995.29999999999,99881.45808554444
161,Arb_01,-20,101860.69999999995,99784.80539036292
162,MM_01,20,98090.85000000003,100152.0461579481
162,Trend_01,-20,101957.59999999998,99896.4038420519
162,Arb_01,-20,101860.69999999995,99799.50384205188
163,MM_01,25,97576.55000000003,100130.06864132742
163,Trend_01,-30,102986.19999999998,99921.97763040711
163,Arb_01,-20,101860.69999999995,99817.88508693804
164,MM_01,20,98087.15000000004,100104.9010978844
164,Trend_01,-30,102986.19999999998,99959.57335317344
164,Arb_01,-10,100839.49999999994,99830.62445105777
165,MM_01,25,97583.70000000004,100072.89845630225
165,Trend_01,-40,103993.09999999998,100010.38246991644
165,Arb_01,-10,100839.49999999994,99843.82061747905
166,MM_01,25,97583.70000000004,100073.73802865499
166,Trend_01,-40,103993.09999999998,100009.03915415205
166,Arb_01,-10,100839.49999999994,99843.48478853796
167,MM_01,20,98081.60000000003,100070.96778963314
167,Trend_01,-40,103993.09999999998,100014.36442073376
167,Arb_01,0,99843.69999999995,99843.69999999995
168,MM_01,30,97088.90000000002,100081.03160797361
168,Trend_01,-50,104985.79999999999,99998.91398671067
168,Arb_01,-10,100836.39999999997,99839.0227973421
169,MM_01,20,98085.80000000002,100080.11320804608
169,Trend_01,-40,103988.9,100000.27358390787
169,Arb_01,0,99839.49999999997,99839.49999999997
170,MM_01,25,97588.20000000001,100059.37375992394
170,Trend_01,-40,103988.9,100035.02198412172
170,Arb_01,-10,100834.69999999998,99846.23049603042
171,MM_01,25,97588.20000000001,100059.76611312683
171,Trend_01,-40,103988.9,100034.3942189971
171,Arb_01,-10,100834.69999999998,99846.07355474925
